model,variant,dataset,psnr,ssim,lpips,params_m,gmacs,size_mb,latency_ms,device
restormer_fp16,onnx,Rain100H_20img,33.0339,,,,,54.8603,103.8155,ort_gpu
nafnet_fp32,onnx,Rain100H_20img,31.6477,,,,,117.3167,9.2548,ort_gpu
nafnet_fp16,onnx,Rain100H_20img,31.6455,,,,,58.9968,7.9684,ort_gpu
nafnet_kd,onnx,Rain100H_20img,31.8333,,,,,117.3167,9.2577,ort_gpu
nafnet_kd_fp16,onnx,Rain100H_20img,31.8306,,,,,58.9968,7.9693,ort_gpu
drsformer_fp32,onnx,Rain100H_20img,35.1357,,,,,138.0397,175.2161,ort_gpu
nafnet_kd_w22,restormer_fp32,summary,31.48,,,26.13,154.9,104.7,46.35,gpu
nafnet_kd_w22,nafnet_kd_w32,summary,30.43,,,29.16,16.1,116.88,11.2,gpu
nafnet_kd_w22,nafnet_kd_w32_pruned30_broken,summary,29.32,,,29.16,16.1,116.88,11.24,gpu
nafnet_kd_w22,nafnet_kd_w22_ft,summary,27.626282787323,,,13.852985,7.698859344,55.644957,10.981393814086914,gpu
nafnet_kd_w22,nafnet_kd_w22_ft_fp16,summary,27.625619297027587,,,13.852985,7.698859344,27.937843,10.987637290381826,gpu
nafnet_kd_w22,nafnet_kd_w22_ft_fp16_onnx,summary,27.625619297027587,,,13.852985,7.698859344,28.383013,7.111896410642657,gpu
nafnet_kd_structpruned30,structpruned30_fp32,all,30.5982474899292,,,20.127905,12.155171328,80.759523,nan,gpu
nafnet_kd_structpruned30,structpruned30_fp16,all,30.600914783477783,,,20.127905,12.155171328,40.506553,nan,gpu
nafnet_kd_structpruned30,structpruned30_onnx_fp32,all,31.94912166595459,,,20.127905,12.155171328,81.189323,9.022230166592635,gpu
